count,director
2,Lucas Margutti
2,Peter Orton
2,James Yukich
2,Chad Van De Keere
2,Mar Targarona
2,Marcelo Galvão
2,Richard Rich
2,Daniel Kontur
2,Satish Kaushik
2,Janusz Majewski
2,Jeffrey Walker
2,Satish Rajwade
2,Pang Ho-cheung
2,Mikhil Musale
2,Luis Lopez
2,Jon M. Chu
2,Raditya Dika
2,Kip Andersen
2,Miguel Cohan
2,Ifa Isfansyah
2,Lars von Trier
2,Esteban Vidal
2,Tensai Okamura
2,Richard Bailey
2,Toa Fraser
2,Paul W.S. Anderson
2,S.S. Wilson
2,Sam Taplin
2,Sameer Vidwans
2,Vince Marcello
2,Guillermo del Toro
2,T.J. Martin
2,Kenny Young
2,Jerry Seinfeld
2,Rod Blackhurst
2,Shyamal Chaulia
2,Ronna Gradus
2,Ulises Valencia
2,Daniel Gray Longino
2,Toka McBaror
2,Jung-ah Im
2,Shawn Levy
2,Anthony D'Souza
2,Tim Burton
2,Antoinette Jadaone
2,Leslie Iwerks
2,Cosima Spender
2,Sze Yu Lau
2,Peter Spirer
2,Harvey Lowry
2,Baljit Singh Deo
2,Alessandro Angulo
2,Gus Van Sant
2,Anu Menon
2,Dharmesh Darshan
2,Rhys Thomas
2,Federico Lemos
2,Elaine McMillion Sheldon
2,Sachin Yardi
2,Joram Lürsen
2,Stanisław Różewicz
2,Iginio Straffi
2,Femi Oyeniran
2,Derek Cianfrance
2,Bill D'Elia
2,Kunal Kohli
2,Patricia Font
2,Anthony Giordano
2,Luv Ranjan
2,Neil Jordan
2,Anne Fontaine
2,Mahsun Kırmızıgül
2,Jerry Rothwell
2,Lewis Milestone
2,Ali Taner Baltacı
2,Keoni Waxman
2,Sang-ho Yeon
2,Mana Yasuda
2,Chris Bould
2,Isaac Ezban
2,Hideaki Anno
2,Sudesh Manjrekar
2,Ian MacNaughton
2,Karen J. Lloyd
2,Francesco Imperato
2,Theodore Boborol
2,Audu Paden
2,Dominic Sena
2,Rodrigo Van Der Put
2,Scott Zabielski
2,Andrew Fleming
2,Kemi Adetiba
2,Stacie Passon
2,Rob Seidenglanz
2,Christopher Nolen
2,Tony Scott
2,Mahmoud Karim
2,Ben Wallis
2,Vipul Amrutlal Shah
2,Jerrold Tarog
2,Dan Villegas
2,Shin Won-ho
2,Mario Van Peebles
2,Mike Birbiglia
2,Nikhil Advani
2,Kookie V. Gulati
